"Date","Key 1","Key 2","Key 3","Value","HSE area","Key"
2020-05-19,"HSE area","HSE Mid-West",NA,1340,NA,NA
2020-05-19,"HSE area","HSE North-East",NA,2828,NA,NA
2020-05-19,"HSE area","HSE North-West",NA,690,NA,NA
2020-05-19,"HSE area","HSE South-East",NA,938,NA,NA
2020-05-19,"HSE area","HSE South",NA,1694,NA,NA
2020-05-19,"HSE area","HSE West",NA,1315,NA,NA
2020-05-19,"Sex","Female",NA,13899,NA,NA
2020-05-19,"Sex","Male",NA,10337,NA,NA
2020-05-19,"Sex","Unknown Sex",NA,38,NA,NA
2020-05-18,"HSE area","HSE East",NA,13769,NA,NA
2020-05-18,"HSE area","HSE Midlands",NA,1659,NA,NA
2020-05-18,"HSE area","HSE Mid-West",NA,1337,NA,NA
2020-05-18,"HSE area","HSE North-East",NA,2819,NA,NA
2020-05-18,"HSE area","HSE North-West",NA,688,NA,NA
2020-05-18,"HSE area","HSE South-East",NA,937,NA,NA
2020-05-18,"HSE area","HSE South",NA,1684,NA,NA
2020-05-18,"HSE area","HSE West",NA,1311,NA,NA
2020-05-18,"Sex","Female",NA,13859,NA,NA
2020-05-18,"Sex","Male",NA,10307,NA,NA
2020-05-18,"Sex","Unknown Sex",NA,38,NA,NA
2020-05-17,"HSE area","HSE East",NA,13797,NA,NA
2020-05-17,"HSE area","HSE Midlands",NA,1650,NA,NA
2020-05-17,"HSE area","HSE Mid-West",NA,1329,NA,NA
2020-05-17,"HSE area","HSE North-East",NA,2810,NA,NA
2020-05-17,"HSE area","HSE North-West",NA,686,NA,NA
2020-05-17,"HSE area","HSE South-East",NA,923,NA,NA
2020-05-17,"HSE area","HSE South",NA,1680,NA,NA
2020-05-17,"HSE area","HSE West",NA,1301,NA,NA
2020-05-17,"Sex","Female",NA,13841,NA,NA
2020-05-17,"Sex","Male",NA,10296,NA,NA
2020-05-17,"Sex","Unknown Sex",NA,39,NA,NA
2020-05-16,"HSE area","HSE East",NA,13717,NA,NA
2020-05-16,"HSE area","HSE Midlands",NA,1645,NA,NA
2020-05-16,"HSE area","HSE Mid-West",NA,1328,NA,NA
2020-05-16,"HSE area","HSE North-East",NA,2788,NA,NA
2020-05-16,"HSE area","HSE North-West",NA,683,NA,NA
2020-05-16,"HSE area","HSE South-East",NA,919,NA,NA
2020-05-16,"HSE area","HSE South",NA,1668,NA,NA
2020-05-16,"HSE area","HSE West",NA,1288,NA,NA
2020-05-16,"Sex","Female",NA,13768,NA,NA
2020-05-16,"Sex","Male",NA,10229,NA,NA
2020-05-16,"Sex","Unknown Sex",NA,39,NA,NA
2020-05-15,"HSE area","HSE East",NA,13683,NA,NA
2020-05-15,"HSE area","HSE Midlands",NA,1644,NA,NA
2020-05-15,"HSE area","HSE Mid-West",NA,1326,NA,NA
2020-05-15,"HSE area","HSE North-East",NA,2778,NA,NA
2020-05-15,"HSE area","HSE North-West",NA,683,NA,NA
2020-05-15,"HSE area","HSE South-East",NA,914,NA,NA
2020-05-15,"HSE area","HSE South",NA,1659,NA,NA
2020-05-15,"HSE area","HSE West",NA,1266,NA,NA
2020-05-15,"Sex","Female",NA,13709,NA,NA
2020-05-15,"Sex","Male",NA,10195,NA,NA
2020-05-15,"Sex","Unknown Sex",NA,49,NA,NA
2020-05-14,"HSE area","HSE East",NA,13671,NA,NA
2020-05-14,"HSE area","HSE Midlands",NA,1633,NA,NA
2020-05-14,"HSE area","HSE Mid-West",NA,1320,NA,NA
2020-05-14,"HSE area","HSE North-East",NA,2761,NA,NA
2020-05-14,"HSE area","HSE North-West",NA,682,NA,NA
2020-05-14,"HSE area","HSE South-East",NA,905,NA,NA
2020-05-14,"HSE area","HSE South",NA,1653,NA,NA
2020-05-14,"HSE area","HSE West",NA,1254,NA,NA
2020-05-14,"Sex","Female",NA,13681,NA,NA
2020-05-14,"Sex","Male",NA,10149,NA,NA
2020-05-14,"Sex","Unknown Sex",NA,49,NA,NA
2020-05-13,"HSE area","HSE East",NA,13561,NA,NA
2020-05-13,"HSE area","HSE Midlands",NA,1611,NA,NA
2020-05-13,"HSE area","HSE Mid-West",NA,1314,NA,NA
2020-05-13,"HSE area","HSE North-East",NA,2754,NA,NA
2020-05-13,"HSE area","HSE North-West",NA,678,NA,NA
2020-05-13,"HSE area","HSE South-East",NA,898,NA,NA
2020-05-13,"HSE area","HSE South",NA,1562,NA,NA
2020-05-13,"HSE area","HSE West",NA,1249,NA,NA
2020-05-13,"Sex","Female",NA,13559,NA,NA
2020-05-13,"Sex","Male",NA,10019,NA,NA
2020-05-13,"Sex","Unknown Sex",NA,49,NA,NA
2020-05-12,"HSE area","HSE East",NA,13307,NA,NA
2020-05-12,"HSE area","HSE Midlands",NA,1531,NA,NA
2020-05-12,"HSE area","HSE Mid-West",NA,1314,NA,NA
2020-05-12,"HSE area","HSE North-East",NA,2735,NA,NA
2020-05-12,"HSE area","HSE North-West",NA,678,NA,NA
2020-05-12,"HSE area","HSE South-East",NA,896,NA,NA
2020-05-12,"HSE area","HSE South",NA,1554,NA,NA
2020-05-12,"HSE area","HSE West",NA,1244,NA,NA
2020-05-12,"Sex","Female",NA,13338,NA,NA
2020-05-12,"Sex","Male",NA,9853,NA,NA
2020-05-12,"Sex","Unknown Sex",NA,68,NA,NA
2020-05-11,"HSE area","HSE East",NA,13233,NA,NA
2020-05-11,"HSE area","HSE Midlands",NA,1524,NA,NA
2020-05-11,"HSE area","HSE Mid-West",NA,1311,NA,NA
2020-05-11,"HSE area","HSE North-East",NA,2727,NA,NA
2020-05-11,"HSE area","HSE North-West",NA,675,NA,NA
2020-05-11,"HSE area","HSE South-East",NA,893,NA,NA
2020-05-11,"HSE area","HSE South",NA,1543,NA,NA
2020-05-11,"HSE area","HSE West",NA,1238,NA,NA
2020-05-11,"Sex","Female",NA,13282,NA,NA
2020-05-11,"Sex","Male",NA,9802,NA,NA
2020-05-11,"Sex","Unknown Sex",NA,60,NA,NA
2020-05-10,"HSE area","HSE East",NA,13152,NA,NA
2020-05-10,"HSE area","HSE Midlands",NA,1509,NA,NA
2020-05-10,"HSE area","HSE Mid-West",NA,1302,NA,NA
2020-05-10,"HSE area","HSE North-East",NA,2692,NA,NA
2020-05-10,"HSE area","HSE North-West",NA,669,NA,NA
2020-05-10,"HSE area","HSE South-East",NA,874,NA,NA
2020-05-10,"HSE area","HSE South",NA,1535,NA,NA
2020-05-10,"HSE area","HSE West",NA,1161,NA,NA
2020-05-10,"Sex","Female",NA,13249,NA,NA
2020-05-10,"Sex","Male",NA,9776,NA,NA
2020-05-10,"Sex","Unknown Sex",NA,64,NA,NA
2020-05-09,"HSE area","HSE East",NA,13152,NA,NA
2020-05-09,"HSE area","HSE Midlands",NA,1509,NA,NA
2020-05-09,"HSE area","HSE Mid-West",NA,1302,NA,NA
2020-05-09,"HSE area","HSE North-East",NA,2692,NA,NA
2020-05-09,"HSE area","HSE North-West",NA,669,NA,NA
2020-05-09,"HSE area","HSE South-East",NA,874,NA,NA
2020-05-09,"HSE area","HSE South",NA,1535,NA,NA
2020-05-09,"HSE area","HSE West",NA,1161,NA,NA
2020-05-09,"Sex","Female",NA,13129,NA,NA
2020-05-09,"Sex","Male",NA,9698,NA,NA
2020-05-09,"Sex","Unknown Sex",NA,67,NA,NA
2020-05-08,"HSE area","HSE East",NA,13035,NA,NA
2020-05-08,"HSE area","HSE Midlands",NA,1502,NA,NA
2020-05-08,"HSE area","HSE Mid-West",NA,1284,NA,NA
2020-05-08,"HSE area","HSE North-East",NA,2678,NA,NA
2020-05-08,"HSE area","HSE North-West",NA,651,NA,NA
2020-05-08,"HSE area","HSE South-East",NA,866,NA,NA
2020-05-08,"HSE area","HSE South",NA,1510,NA,NA
2020-05-08,"HSE area","HSE West",NA,1145,NA,NA
2020-05-08,"Sex","Female",NA,12980,NA,NA
2020-05-08,"Sex","Male",NA,9627,NA,NA
2020-05-08,"Sex","Unknown Sex",NA,64,NA,NA
2020-05-07,"HSE area","HSE East",NA,12902,NA,NA
2020-05-07,"HSE area","HSE Midlands",NA,1500,NA,NA
2020-05-07,"HSE area","HSE Mid-West",NA,1280,NA,NA
2020-05-07,"HSE area","HSE North-East",NA,2664,NA,NA
2020-05-07,"HSE area","HSE North-West",NA,651,NA,NA
2020-05-07,"HSE area","HSE South-East",NA,852,NA,NA
2020-05-07,"HSE area","HSE South",NA,1508,NA,NA
2020-05-07,"HSE area","HSE West",NA,1138,NA,NA
2020-05-07,"Sex","Female",NA,12879,NA,NA
2020-05-07,"Sex","Male",NA,9552,NA,NA
2020-05-07,"Sex","Unknown Sex",NA,64,NA,NA
2020-05-06,"HSE area","HSE East",NA,12833,NA,NA
2020-05-06,"HSE area","HSE Midlands",NA,1480,NA,NA
2020-05-06,"HSE area","HSE Mid-West",NA,1270,NA,NA
2020-05-06,"HSE area","HSE North-East",NA,2603,NA,NA
2020-05-06,"HSE area","HSE North-West",NA,651,NA,NA
2020-05-06,"HSE area","HSE South-East",NA,835,NA,NA
2020-05-06,"HSE area","HSE South",NA,1502,NA,NA
2020-05-06,"HSE area","HSE West",NA,1127,NA,NA
2020-05-06,"Sex","Female",NA,12765,NA,NA
2020-05-06,"Sex","Male",NA,9472,NA,NA
2020-05-06,"Sex","Unknown Sex",NA,64,NA,NA
2020-05-05,"HSE area","HSE East",NA,12775,NA,NA
2020-05-05,"HSE area","HSE Midlands",NA,1475,NA,NA
2020-05-05,"HSE area","HSE Mid-West",NA,1256,NA,NA
2020-05-05,"HSE area","HSE North-East",NA,2573,NA,NA
2020-05-05,"HSE area","HSE North-West",NA,661,NA,NA
2020-05-05,"HSE area","HSE South-East",NA,832,NA,NA
2020-05-05,"HSE area","HSE South",NA,1499,NA,NA
2020-05-05,"HSE area","HSE West",NA,1115,NA,NA
2020-05-05,"Sex","Female",NA,12696,NA,NA
2020-05-05,"Sex","Male",NA,9428,NA,NA
2020-05-05,"Sex","Unknown Sex",NA,62,NA,NA
2020-05-04,"HSE area","HSE East",NA,12651,NA,NA
2020-05-04,"HSE area","HSE Midlands",NA,1390,NA,NA
2020-05-04,"HSE area","HSE Mid-West",NA,1242,NA,NA
2020-05-04,"HSE area","HSE North-East",NA,2556,NA,NA
2020-05-04,"HSE area","HSE North-West",NA,658,NA,NA
2020-05-04,"HSE area","HSE South-East",NA,818,NA,NA
2020-05-04,"HSE area","HSE South",NA,1494,NA,NA
2020-05-04,"HSE area","HSE West",NA,1099,NA,NA
2020-05-04,"Sex","Female",NA,12562,NA,NA
2020-05-04,"Sex","Male",NA,9283,NA,NA
2020-05-04,"Sex","Unknown Sex",NA,63,NA,NA
2020-05-03,"HSE area","HSE East",NA,12575,NA,NA
2020-05-03,"HSE area","HSE Midlands",NA,1337,NA,NA
2020-05-03,"HSE area","HSE Mid-West",NA,1217,NA,NA
2020-05-03,"HSE area","HSE North-East",NA,2524,NA,NA
2020-05-03,"HSE area","HSE North-West",NA,657,NA,NA
2020-05-03,"HSE area","HSE South-East",NA,811,NA,NA
2020-05-03,"HSE area","HSE South",NA,1478,NA,NA
2020-05-03,"HSE area","HSE West",NA,1060,NA,NA
2020-05-03,"Sex","Female",NA,12446,NA,NA
2020-05-03,"Sex","Male",NA,9151,NA,NA
2020-05-03,"Sex","Unknown Sex",NA,62,NA,NA
2020-05-02,"HSE area","HSE East",NA,12451,NA,NA
2020-05-02,"HSE area","HSE Midlands",NA,1304,NA,NA
2020-05-02,"HSE area","HSE Mid-West",NA,1204,NA,NA
2020-05-02,"HSE area","HSE North-East",NA,2496,NA,NA
2020-05-02,"HSE area","HSE North-West",NA,655,NA,NA
2020-05-02,"HSE area","HSE South-East",NA,814,NA,NA
2020-05-02,"HSE area","HSE South",NA,1473,NA,NA
2020-05-02,"HSE area","HSE West",NA,1040,NA,NA
2020-05-02,"Sex","Female",NA,12334,NA,NA
2020-05-02,"Sex","Male",NA,9045,NA,NA
2020-05-02,"Sex","Unknown Sex",NA,58,NA,NA
2020-05-01,"HSE area","HSE East",NA,12266,NA,NA
2020-05-01,"HSE area","HSE Midlands",NA,1201,NA,NA
2020-05-01,"HSE area","HSE Mid-West",NA,1195,NA,NA
2020-05-01,"HSE area","HSE North-East",NA,2453,NA,NA
2020-05-01,"HSE area","HSE North-West",NA,646,NA,NA
2020-05-01,"HSE area","HSE South-East",NA,811,NA,NA
2020-05-01,"HSE area","HSE South",NA,1459,NA,NA
2020-05-01,"HSE area","HSE West",NA,1033,NA,NA
2020-05-01,"Sex","Female",NA,12166,NA,NA
2020-05-01,"Sex","Male",NA,8841,NA,NA
2020-05-01,"Sex","Unknown Sex",NA,57,NA,NA
2020-04-30,"HSE area","HSE East",NA,12107,NA,NA
2020-04-30,"HSE area","HSE Midlands",NA,1173,NA,NA
2020-04-30,"HSE area","HSE Mid-West",NA,1171,NA,NA
2020-04-30,"HSE area","HSE North-East",NA,2412,NA,NA
2020-04-30,"HSE area","HSE North-West",NA,646,NA,NA
2020-04-30,"HSE area","HSE South-East",NA,778,NA,NA
2020-04-30,"HSE area","HSE South",NA,1450,NA,NA
2020-04-30,"HSE area","HSE West",NA,1005,NA,NA
2020-04-30,"Sex","Female",NA,11979,NA,NA
2020-04-30,"Sex","Male",NA,8695,NA,NA
2020-04-30,"Sex","Unknown Sex",NA,68,NA,NA
2020-04-29,"HSE area","HSE East",NA,11984,NA,NA
2020-04-29,"HSE area","HSE Midlands",NA,1144,NA,NA
2020-04-29,"HSE area","HSE Mid-West",NA,1149,NA,NA
2020-04-29,"HSE area","HSE North-East",NA,2382,NA,NA
2020-04-29,"HSE area","HSE North-West",NA,643,NA,NA
2020-04-29,"HSE area","HSE South-East",NA,770,NA,NA
2020-04-29,"HSE area","HSE South",NA,1447,NA,NA
2020-04-29,"HSE area","HSE West",NA,991,NA,NA
2020-04-29,"Sex","Female",NA,11841,NA,NA
2020-04-29,"Sex","Male",NA,8605,NA,NA
2020-04-29,"Sex","Unknown Sex",NA,64,NA,NA
2020-03-29,"HSE area","HSE East",NA,1626,NA,NA
2020-03-29,"HSE area","HSE Midlands",NA,136,NA,NA
2020-03-29,"HSE area","HSE Mid-West",NA,156,NA,NA
2020-03-29,"HSE area","HSE North-East",NA,142,NA,NA
2020-03-29,"HSE area","HSE North-West",NA,71,NA,NA
2020-03-29,"HSE area","HSE South-East",NA,110,NA,NA
2020-03-29,"HSE area","HSE South",NA,304,NA,NA
2020-03-29,"HSE area","HSE West",NA,132,NA,NA
2020-03-29,"Sex","Female",NA,1320,NA,NA
2020-03-29,"Sex","Male",NA,1321,NA,NA
2020-03-29,"Sex","Unknown Sex",NA,36,NA,NA
2020-03-28,"HSE area","HSE East",NA,1526,NA,NA
2020-03-28,"HSE area","HSE Midlands",NA,128,NA,NA
2020-03-28,"HSE area","HSE Mid-West",NA,145,NA,NA
2020-03-28,"HSE area","HSE North-East",NA,122,NA,NA
2020-03-28,"HSE area","HSE North-West",NA,61,NA,NA
2020-03-28,"HSE area","HSE South-East",NA,101,NA,NA
2020-03-28,"HSE area","HSE South",NA,277,NA,NA
2020-03-28,"HSE area","HSE West",NA,115,NA,NA
2020-03-28,"Sex","Female",NA,1206,NA,NA
2020-03-28,"Sex","Male",NA,1240,NA,NA
2020-03-28,"Sex","Unknown Sex",NA,29,NA,NA
2020-03-27,"HSE area","HSE East",NA,1359,NA,NA
2020-03-27,"HSE area","HSE Midlands",NA,120,NA,NA
2020-03-27,"HSE area","HSE Mid-West",NA,128,NA,NA
2020-03-27,"HSE area","HSE North-East",NA,110,NA,NA
2020-03-27,"HSE area","HSE North-West",NA,41,NA,NA
2020-03-27,"HSE area","HSE South-East",NA,93,NA,NA
2020-03-27,"HSE area","HSE South",NA,261,NA,NA
2020-03-27,"HSE area","HSE West",NA,104,NA,NA
2020-03-27,"Sex","Female",NA,1060,NA,NA
2020-03-27,"Sex","Male",NA,1140,NA,NA
2020-03-27,"Sex","Unknown Sex",NA,16,NA,NA
2020-03-26,"HSE area","HSE East",NA,1184,NA,NA
2020-03-26,"HSE area","HSE Midlands",NA,90,NA,NA
2020-03-26,"HSE area","HSE Mid-West",NA,111,NA,NA
2020-03-26,"HSE area","HSE North-East",NA,87,NA,NA
2020-03-26,"HSE area","HSE North-West",NA,28,NA,NA
2020-03-26,"HSE area","HSE South-East",NA,81,NA,NA
2020-03-26,"HSE area","HSE South",NA,231,NA,NA
2020-03-26,"HSE area","HSE West",NA,92,NA,NA
2020-03-26,"Sex","Female",NA,888,NA,NA
2020-03-26,"Sex","Male",NA,1010,NA,NA
2020-03-26,"Sex","Unknown Sex",NA,6,NA,NA
2020-03-25,"HSE area","HSE East",NA,1019,NA,NA
2020-03-25,"HSE area","HSE Midlands",NA,73,NA,NA
2020-03-25,"HSE area","HSE Mid-West",NA,90,NA,NA
2020-03-25,"HSE area","HSE North-East",NA,71,NA,NA
2020-03-25,"HSE area","HSE North-West",NA,26,NA,NA
2020-03-25,"HSE area","HSE South-East",NA,63,NA,NA
2020-03-25,"HSE area","HSE South",NA,215,NA,NA
2020-03-25,"HSE area","HSE West",NA,82,NA,NA
2020-03-25,"Sex","Female",NA,760,NA,NA
2020-03-25,"Sex","Male",NA,879,NA,NA
2020-03-25,"Sex","Unknown Sex",NA,0,NA,NA
2020-03-24,"HSE area","HSE East",NA,862,NA,NA
2020-03-24,"HSE area","HSE Midlands",NA,58,NA,NA
2020-03-24,"HSE area","HSE Mid-West",NA,70,NA,NA
2020-03-24,"HSE area","HSE North-East",NA,56,NA,NA
2020-03-24,"HSE area","HSE North-West",NA,23,NA,NA
2020-03-24,"HSE area","HSE South-East",NA,58,NA,NA
2020-03-24,"HSE area","HSE South",NA,191,NA,NA
2020-03-24,"HSE area","HSE West",NA,64,NA,NA
2020-03-24,"Sex","Female",NA,630,NA,NA
2020-03-24,"Sex","Male",NA,753,NA,NA
2020-03-24,"Sex","Unknown Sex",NA,0,NA,NA
2020-03-23,"HSE area","HSE East",NA,732,NA,NA
2020-03-23,"HSE area","HSE Midlands",NA,51,NA,NA
2020-03-23,"HSE area","HSE Mid-West",NA,48,NA,NA
2020-03-23,"HSE area","HSE North-East",NA,50,NA,NA
2020-03-23,"HSE area","HSE North-West",NA,22,NA,NA
2020-03-23,"HSE area","HSE South-East",NA,44,NA,NA
2020-03-23,"HSE area","HSE South",NA,166,NA,NA
2020-03-23,"HSE area","HSE West",NA,51,NA,NA
2020-03-23,"Sex","Female",NA,522,NA,NA
2020-03-23,"Sex","Male",NA,642,NA,NA
2020-03-23,"Sex","Unknown Sex",NA,0,NA,NA
2020-03-22,"HSE area","HSE East",NA,588,NA,NA
2020-03-22,"HSE area","HSE Midlands",NA,46,NA,NA
2020-03-22,"HSE area","HSE Mid-West",NA,47,NA,NA
2020-03-22,"HSE area","HSE North-East",NA,39,NA,NA
2020-03-22,"HSE area","HSE North-West",NA,20,NA,NA
2020-03-22,"HSE area","HSE South-East",NA,42,NA,NA
2020-03-22,"HSE area","HSE South",NA,138,NA,NA
2020-03-22,"HSE area","HSE West",NA,45,NA,NA
2020-03-22,"Sex","Female",NA,431,NA,NA
2020-03-22,"Sex","Male",NA,534,NA,NA
2020-03-22,"Sex","Unknown Sex",NA,0,NA,NA
2020-03-21,"HSE area","HSE East",NA,516,NA,NA
2020-03-21,"HSE area","HSE Midlands",NA,39,NA,NA
2020-03-21,"HSE area","HSE Mid-West",NA,44,NA,NA
2020-03-21,"HSE area","HSE North-East",NA,32,NA,NA
2020-03-21,"HSE area","HSE North-West",NA,17,NA,NA
2020-03-21,"HSE area","HSE South-East",NA,32,NA,NA
2020-03-21,"HSE area","HSE South",NA,116,NA,NA
2020-03-21,"HSE area","HSE West",NA,40,NA,NA
2020-03-21,"Sex","Female",NA,369,NA,NA
2020-03-21,"Sex","Male",NA,460,NA,NA
2020-03-21,"Sex","Unknown Sex",NA,7,NA,NA
2020-03-20,"HSE area","HSE East",NA,446,NA,NA
2020-03-20,"HSE area","HSE Midlands",NA,33,NA,NA
2020-03-20,"HSE area","HSE Mid-West",NA,27,NA,NA
2020-03-20,"HSE area","HSE North-East",NA,28,NA,NA
2020-03-20,"HSE area","HSE North-West",NA,11,NA,NA
2020-03-20,"HSE area","HSE South-East",NA,28,NA,NA
2020-03-20,"HSE area","HSE South",NA,110,NA,NA
2020-03-20,"HSE area","HSE West",NA,29,NA,NA
2020-03-20,"Sex","Female",NA,311,NA,NA
2020-03-20,"Sex","Male",NA,393,NA,NA
2020-03-20,"Sex","Unknown Sex",NA,8,NA,NA
2020-04-28,"HSE area","HSE East",NA,11749,NA,NA
2020-04-28,"HSE area","HSE Midlands",NA,1120,NA,NA
2020-04-28,"HSE area","HSE Mid-West",NA,1080,NA,NA
2020-04-28,"HSE area","HSE North-East",NA,2352,NA,NA
2020-04-28,"HSE area","HSE North-West",NA,641,NA,NA
2020-04-28,"HSE area","HSE South-East",NA,743,NA,NA
2020-04-28,"HSE area","HSE South",NA,1438,NA,NA
2020-04-28,"HSE area","HSE West",NA,988,NA,NA
2020-04-28,"Sex","Female",NA,11625,NA,NA
2020-04-28,"Sex","Male",NA,8427,NA,NA
2020-04-28,"Sex","Unknown Sex",NA,59,NA,NA
2020-04-27,"HSE area","HSE East",NA,11477,NA,NA
2020-04-27,"HSE area","HSE Midlands",NA,1086,NA,NA
2020-04-27,"HSE area","HSE Mid-West",NA,1052,NA,NA
2020-04-27,"HSE area","HSE North-East",NA,2334,NA,NA
2020-04-27,"HSE area","HSE North-West",NA,638,NA,NA
2020-04-27,"HSE area","HSE South-East",NA,731,NA,NA
2020-04-27,"HSE area","HSE South",NA,1428,NA,NA
2020-04-27,"HSE area","HSE West",NA,977,NA,NA
2020-04-27,"Sex","Female",NA,11379,NA,NA
2020-04-27,"Sex","Male",NA,8287,NA,NA
2020-04-27,"Sex","Unknown Sex",NA,57,NA,NA
2020-04-26,"HSE area","HSE East",NA,11329,NA,NA
2020-04-26,"HSE area","HSE Midlands",NA,1031,NA,NA
2020-04-26,"HSE area","HSE Mid-West",NA,1016,NA,NA
2020-04-26,"HSE area","HSE North-East",NA,2289,NA,NA
2020-04-26,"HSE area","HSE North-West",NA,638,NA,NA
2020-04-26,"HSE area","HSE South-East",NA,727,NA,NA
2020-04-26,"HSE area","HSE South",NA,1414,NA,NA
2020-04-26,"HSE area","HSE West",NA,939,NA,NA
2020-04-26,"Sex","Female",NA,11179,NA,NA
2020-04-26,"Sex","Male",NA,8152,NA,NA
2020-04-26,"Sex","Unknown Sex",NA,52,NA,NA
2020-04-25,"HSE area","HSE East",NA,11216,NA,NA
2020-04-25,"HSE area","HSE Midlands",NA,1008,NA,NA
2020-04-25,"HSE area","HSE Mid-West",NA,932,NA,NA
2020-04-25,"HSE area","HSE North-East",NA,2234,NA,NA
2020-04-25,"HSE area","HSE North-West",NA,633,NA,NA
2020-04-25,"HSE area","HSE South-East",NA,725,NA,NA
2020-04-25,"HSE area","HSE South",NA,1413,NA,NA
2020-04-25,"HSE area","HSE West",NA,934,NA,NA
2020-04-25,"Sex","Female",NA,10963,NA,NA
2020-04-25,"Sex","Male",NA,8051,NA,NA
2020-04-25,"Sex","Unknown Sex",NA,81,NA,NA
2020-04-24,"HSE area","HSE East",NA,10813,NA,NA
2020-04-24,"HSE area","HSE Midlands",NA,991,NA,NA
2020-04-24,"HSE area","HSE Mid-West",NA,897,NA,NA
2020-04-24,"HSE area","HSE North-East",NA,2133,NA,NA
2020-04-24,"HSE area","HSE North-West",NA,615,NA,NA
2020-04-24,"HSE area","HSE South-East",NA,712,NA,NA
2020-04-24,"HSE area","HSE South",NA,1387,NA,NA
2020-04-24,"HSE area","HSE West",NA,883,NA,NA
2020-04-24,"Sex","Female",NA,10570,NA,NA
2020-04-24,"Sex","Male",NA,7797,NA,NA
2020-04-24,"Sex","Unknown Sex",NA,64,NA,NA
2020-04-23,"HSE area","HSE East",NA,10571,NA,NA
2020-04-23,"HSE area","HSE Midlands",NA,960,NA,NA
2020-04-23,"HSE area","HSE Mid-West",NA,893,NA,NA
2020-04-23,"HSE area","HSE North-East",NA,2030,NA,NA
